voxel_size_lr_mm,voxel_size_ap_mm,voxel_size_is_mm,n_dataset_resolution_rows,n_datasets
3.125,3.125,4.0,2,2
3.0,3.0,3.0,1,1
3.0,3.0,3.75,1,1
3.0,3.0,3.9,1,1
3.0,3.0,4.0,1,1
3.0,3.0,4.05,1,1
3.75,3.75,3.8,1,1
