dataset_accession,voxel_size_lr_mm,voxel_size_ap_mm,voxel_size_is_mm,native_x_min_mm,native_x_max_mm,native_y_min_mm,native_y_max_mm,native_z_min_mm,native_z_max_mm,lr_min_unrounded_mm,lr_max_unrounded_mm,ap_min_unrounded_mm,ap_max_unrounded_mm,is_min_unrounded_mm,is_max_unrounded_mm,n_files,n_unique_subjects,n_unique_sessions,task_labels,resting_state_present,non_resting_tasks_present,acquisition_labels,run_labels,echo_labels,dataset_bold_files,percent_dataset_bold_files,representative_s3_key,singleton_group,qc_flags
ds000001,3.125,3.125,4.0,3.125,3.125,3.125,3.125,4.0,4.0,3.125,3.125,3.125,3.125,4.0,4.0,48,16,0,balloonanalogrisktask,False,True,,01;02;03,,48,100.0,ds000001/sub-01/func/sub-01_task-balloonanalogrisktask_run-01_bold.nii.gz,False,
ds000005,3.125,3.125,4.0,3.125,3.125,3.125,3.125,4.0,4.0,3.125,3.125,3.125,3.125,4.0,4.0,48,16,0,mixedgamblestask,False,True,,01;02;03,,48,100.0,ds000005/sub-01/func/sub-01_task-mixedgamblestask_run-01_bold.nii.gz,False,
ds000102,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.000003814697266,3.0,3.0,3.0,3.0,4.0,4.000003814697266,52,26,0,flanker,False,True,,1;2,,52,100.0,ds000102/sub-01/func/sub-01_task-flanker_run-1_bold.nii.gz,False,
ds000117,3.0,3.0,3.75,2.9999992847442627,3.000000476837158,2.9999992847442627,3.0000016689300537,3.749999761581421,3.750000238418579,2.9999992847442627,3.000000476837158,2.9999992847442627,3.0000016689300537,3.749999761581421,3.750000238418579,72,8,1,facerecognition,False,True,,01;02;03;04;05;06;07;08;09,,143,50.34965034965035,ds000117/sub-01/ses-mri/func/sub-01_ses-mri_task-facerecognition_run-01_bold.nii.gz,False,
ds000117,3.0,3.0,3.9,2.9999992847442627,3.0000011920928955,2.9999992847442627,3.0000009536743164,3.8999998569488525,3.9000003337860107,2.9999992847442627,3.0000011920928955,2.9999992847442627,3.0000009536743164,3.8999998569488525,3.9000003337860107,53,6,1,facerecognition,False,True,,01;02;03;04;05;06;07;08;09,,143,37.06293706293706,ds000117/sub-02/ses-mri/func/sub-02_ses-mri_task-facerecognition_run-01_bold.nii.gz,False,
ds000117,3.0,3.0,4.05,3.0,3.0000007152557373,2.999999523162842,3.0000011920928955,4.049999713897705,4.050000190734863,3.0,3.0000007152557373,2.999999523162842,3.0000011920928955,4.049999713897705,4.050000190734863,18,2,1,facerecognition,False,True,,01;02;03;04;05;06;07;08;09,,143,12.587412587412587,ds000117/sub-06/ses-mri/func/sub-06_ses-mri_task-facerecognition_run-01_bold.nii.gz,False,
ds000210,3.0,3.0,3.0,3.0,3.0,2.999999761581421,3.000053644180298,2.999999761581421,3.000053644180298,3.0,3.0,2.999999761581421,3.000053644180298,2.999999761581421,3.000053644180298,93,31,0,rest,True,False,,01,1;2;3,465,20.0,ds000210/sub-01/func/sub-01_task-rest_run-01_echo-1_bold.nii.gz,False,
ds000210,3.75,3.75,3.8,3.75,3.75,3.749999761581421,3.7500669956207275,3.799999713897705,3.800067901611328,3.75,3.75,3.749999761581421,3.7500669956207275,3.799999713897705,3.800067901611328,372,31,0,cuedSGT,False,True,,01;02;03;04,1;2;3,465,80.0,ds000210/sub-01/func/sub-01_task-cuedSGT_run-01_echo-1_bold.nii.gz,False,
